DataTimeStamp;GPSLong;GPSLat;Vel;ExernalAcelX;ExernalAcelY;ExernalAcelZ;ExernalGyroscopeX;ExernalGyroscopeY;ExernalGyroscopeZ;Pitch;Roll;Yaw
1630259189506;-46.46437333333333;-23.527645;3.85;-0.2371;0.7724;8.9873;-1.5854;-2.1951;5.122000000000001;4.2822;1.4735;-17.6046
1630259189557;-46.464393333333334;-23.52763166666667;4.68;0.7904;0.1772;10.3082;-2.622;-1.7073;5.4878;4.3;1.4698;-17.8319
1630259189606;-46.464393333333334;-23.52763166666667;4.68;0.7904;0.1772;10.3082;-2.622;-1.7073;5.4878;4.3;1.4698;-17.8319
1630259189657;-46.464393333333334;-23.52763166666667;4.68;1.2718;0.4622;10.0016;2.0732;-0.9756;7.561;4.2067;1.3929;-18.4168
1630259189706;-46.464393333333334;-23.52763166666667;4.68;-2.0453;0.3808;9.9896;2.5;-1.2195;2.439;4.1154;1.4968;-18.7121
1630259189755;-46.464393333333334;-23.52763166666667;4.68;0.6993;0.4323;10.270999999999999;1.6463;-2.2561;5.7927;4.1431;1.5476;-18.9726
1630259189806;-46.464393333333334;-23.52763166666667;4.68;-0.4012;0.8335;8.3359;-0.3049;-1.5854;4.4512;4.1036;1.5721;-19.2833
1630259189858;-46.464393333333334;-23.52763166666667;4.68;0.8766;0.9377;9.4687;0.0;-1.7073;6.8293;4.1112;1.5915;-19.5096
1630259189906;-46.464393333333334;-23.52763166666667;4.68;1.8346;0.5676;9.0604;-0.5488;-0.9146;4.5732;4.0535;1.5482;-19.8283
1630259189957;-46.464393333333334;-23.52763166666667;4.68;1.8346;0.5676;9.0604;-0.5488;-0.9146;4.5732;4.0535;1.5482;-19.8283
1630259190006;-46.464393333333334;-23.52763166666667;4.68;0.9017;0.0144;10.6291;3.5366;-1.0366;6.5244;4.027;1.3546;-20.2202
1630259190056;-46.464393333333334;-23.52763166666667;4.68;0.9017;0.0144;10.6291;3.5366;-1.0366;6.5244;4.027;1.3546;-20.2202
1630259190106;-46.464393333333334;-23.52763166666667;4.68;0.4682;-0.0742;11.1883;2.7439;-0.8537;3.8415;3.9774;1.4601;-20.746
1630259190156;-46.464393333333334;-23.52763166666667;4.68;-3.3171;0.1605;12.0074;2.439;-1.0366;1.5244;3.9489;1.4714;-21.0033
1630259190205;-46.464393333333334;-23.52763166666667;4.68;0.9089;0.2359;10.3261;2.3171;-1.4024;3.1098;3.9814;1.5076;-21.239
1630259190255;-46.464393333333334;-23.52763166666667;4.68;0.6047;0.39399999999999996;9.2364;-0.4268;-2.3171;4.2073;3.9544;1.6052;-21.4674
1630259190306;-46.464393333333334;-23.52763166666667;4.68;0.6047;0.39399999999999996;9.2364;-0.4268;-2.3171;4.2073;3.9544;1.6052;-21.4674
1630259190356;-46.464393333333334;-23.52763166666667;4.68;0.2371;0.27899999999999997;10.4363;-2.0122;-2.0122;3.1707;4.0005;1.5051;-21.8677
1630259190407;-46.464393333333334;-23.52763166666667;4.68;-0.0216;0.3832;11.2386;2.378;-1.4634;4.7561;4.0708;1.3366;-22.0229
1630259190457;-46.464393333333334;-23.52763166666667;4.68;0.1461;0.3257;10.6159;3.4146;-1.7073;6.0366;4.0565;1.308;-22.3211
1630259190508;-46.464393333333334;-23.52763166666667;4.68;-0.2311;0.364;10.7405;1.4634;-1.3415;2.2561;4.0169;1.4887;-22.4948
1630259190558;-46.464393333333334;-23.52763166666667;4.68;3.2345;0.0216;9.5933;-0.061;-1.9512;4.939;4.0743;1.5067;-22.6915
1630259190608;-46.46441833333333;-23.52761666666667;5.44;-0.1892;0.6107;9.0604;-2.439;-2.1341;4.3293;4.1146;1.4689;-22.9417
1630259190659;-46.46441833333333;-23.52761666666667;5.44;0.4239;0.085;9.9345;-3.1707;-1.3415;3.5976;4.1302;1.3531;-23.1064
